address,attempts,attempts_refunded,mint_received,refund_missing
CkFMQVQCdRGLTHh5VRCQz1wshuuioEUiukzui9JZTX7N,8,6,2,0
DHhowpp9X6vqYLXjmqAHip6xQn4tpdhCERSe18wRNxoP,3,1,2,0
Au7BpwdfZ2Z9fvfGiQ8mj4Z72fETrZQMAMwKi1xQGAfr,3,1,2,0
Gs9Xnd1szQUnESM1vrpMPRkreZvz5p3DqLdkjxr5pnZ,2,0,2,0
ABc5SaueXbNL2nEjgVYzkvVUQp46s9KRc3i76g3MRNr,3,1,2,0
GEJ3zU94dgUcrac9QQF7qfF1w62toYhXYDKKCES8pXuH,3,1,2,0
46fSSkaaq4L2AYiQrfDz4Jmu9MvpxCoDftEzhXvTvJvG,2,0,2,0
BucSoUrFiGrAwixJYwwvPc8c6sa6FnWDFa1DQPmeyCgf,5,3,2,0
FLBzwAduXPCf14Ke9EHGPFMkHeMMmWCrdktaxcKk74pY,4,2,2,0
D7FcyfXwtuiFPJB6p2gZjqvfPjkyfUzq2XpnjUb2t5YJ,4,2,2,0
F97fec2Qgdc8LkLiwmVTcky1KS4SUtgNZT25DYXanDKZ,3,1,2,0
HMaiLinV1w9VDR3oDAhPsJbhCr41zU3ZbX9eKm8Cu8k6,3,1,2,0
2TWma7cRRkWSqcNd6Eb9M8s37yopY6m2JNWE55WPix9J,3,1,2,0
2f9L7nBo8zpjndnozCfbSgNotNTjwezx8D3NYW6sFeEV,2,0,2,0
CbA7tiGkSnztHQDwz8tkysdmUwGJyDQGYZ7JNHGmMgiU,2,0,2,0
3pnKyp5UA5uUkfg4VK1pekuwZFz8usSbp3TwMRGm9Y5e,2,0,2,0
9aqW17HLzL7W95ivfvPjE8Rf4CwgHeX9HfGZEZSWk8LJ,4,2,2,0
5UYsAoovKyW8MXPT32s2Wo2hfaxNV5aaf3KtcAC6JfCW,4,2,2,0
89CYFvBFQNxj3LWHXDnBzq1q9qF4mf9KeLdQhkeoRsNT,3,1,2,0
2Qd7tqDnjRkc8oW36SCDPxrN48ABfVuEZdzts84U3JVD,5,3,2,0
59LH6CFnaNRQuafTTT3fLdVr282t2jvu24iWFq1MEuet,5,3,2,0
7FnDVV3Na2KZDcrpzNvYT8bZ7ZP4b2LnhJP4zciX5MFB,4,2,2,0
Bf2US2KqE6y4EaSTm9SXj7aS5m3MwsSvzGP9AZZEsA1p,5,3,2,0
DMDSoUwEEoseRbiTvEvJjnqLN5NR47xuJebLWXZp6fvL,2,0,2,0
FqciDBD7TqxsduUWXoQdGfeBwvQ3dBmyqKfS22VdgSpR,3,1,2,0
HDLjDWGQHgRKKFjVZidEr9ysx6uA1ozDv6mbbSkiL3DV,3,1,2,0
ETPyuvTTFC4AiK5VrvEn9Sg53MGYTKkKtwx9iiUMhCrM,2,0,2,0
4J3gPGw67983hSGNCvLz35kSE24TSxxGBp8rrDhH8upF,7,5,2,0
B2nnLPLKuECUjJ5Q7V6JCZK9G5TuXbRPC1BDmDh9MTqA,3,2,1,0
74YURQBdRESM9tDHAFLoAyi6suFmQh9AQc7jkT8PYavo,2,1,1,0
8BS7P9jiJ1SghCGhkYJARaySpGDKr369RUYN7SC5uZB8,1,0,1,0
ASpmg6bEJfBPfMJuYKDwAYAxSRCxCCdFQ9Fpm8oiDqaV,1,0,1,0
